name,value,year,lastValue,rank
Legitimo,21090,3,30250,42
Annisa Group.,21340,3,29829,43
Tiernitas,68628,3,27531,44
Grendene,8785,3,23442,45
SANJERIY,8290,3,20139,46
Democrata,8940,3,16390,47
Asics,6799,3,12900,48
ZAXY,98590,3,12420,49
Hello Kitty,-229,3,11043,50
Ginga,4326,3,11007,51
Ador,100816,3,9172,52
Euro Teens,11300,3,7800,53
Pierre Cardin/Dali/Murakami,5000,3,7500,54
Country,790,3,2970,55
Hot Wheels,290,3,2200,56
Mac Boot,1600,3,1600,57
Arye - Portter,-149,3,1199,58
Angra,2000,3,1000,59
Rain Boot,1995,3,798,60
Futbol,2500,3,500,61
Trendy,500,3,500,62
Retoric,1200,3,400,63
Luocheng,300,3,300,64
Miss Carol,4709201,4,3705325,1
PUSH,3354416,4,3586002,2
Topper,3572704,4,3173494,3
Reebok,3479686,4,2808163,4
Camarao,2677246,4,2685397,5
Puma,2360550,4,2454699,6
Converse,2122121,4,2375752,7
Lombardino,1880104,4,1758101,8
Sumilon,1976372,4,1271084,9
New Balance,1341753,4,1181156,10
Freeway ,1231261,4,1162216,11
A.Giannini,1193641,4,1031050,12
Lady Confort,1338950,4,1028100,13
Umbro,735716,4,758666,14
Adidas,495300,4,571962,15
Vanzetti,696815,4,545181,16
Olympikus                 ,806906,4,497483,17
Branch,558839,4,456304,18
Croco Kids,603991,4,426875,19
North Sails N+,415572,4,316890,20
Bottero,1217724,4,288961,21
Cuerart                  ,398667,4,275280,22
Varios_Saldos,135558,4,264109,23
Goshik,184073,4,254100,24
Bibi,191783,4,210592,25
Reef,131827,4,201888,26
Wassington   ,298764,4,193092,27
Bioconfort,308737,4,167906,28
Falatino,170700,4,141449,29
Mc Jason,156855,4,112730,30
Via Uno,47460,4,103899,31
Ador,405523,4,100816,32
ZAXY,210860,4,98590,33
Tiernitas,109725,4,68628,34
Havaianas,10179,4,65624,35
Pigalle ,39080,4,37900,36
Azaleia,151071,4,33829,37
FF,26910,4,32900,38
Rider,2531,4,23762,39
Annisa Group.,13156,4,21340,40
Legitimo,6600,4,21090,41
Disponible,34300,4,18500,42
Mormaii,2839,4,18034,43
Crocs,4684,4,13749,44
Euro Teens,1000,4,11300,45
Euro Jack,55755,4,9199,46
Democrata,9940,4,8940,47
Aquarella,2789,4,8822,48
Grendene,2014,4,8785,49
SANJERIY,6791,4,8290,50
Asics,3500,4,6799,51
Pierre Cardin/Dali/Murakami,6400,4,5000,52
Ginga,2163,4,4326,53
Futbol,500,4,2500,54
Rain Boot,2495,4,1995,55
Retoric,700,4,1200,56
Trendy,300,4,500,57
Arye - Portter,4392,4,-149,58
Hello Kitty,500,4,-229,59
Miss Carol,4835880,5,4709201,1
Topper,3837533,5,3572704,2
Reebok,3274053,5,3479686,3
PUSH,2919998,5,3354416,4
Camarao,3571183,5,2677246,5
Puma,2498288,5,2360550,6
Converse,2353859,5,2122121,7
Sumilon,1721468,5,1976372,8
Lombardino,2322145,5,1880104,9
New Balance,2065257,5,1341753,10
Lady Confort,967979,5,1338950,11
Freeway ,1513383,5,1231261,12
Bottero,1087819,5,1217724,13
A.Giannini,905905,5,1193641,14
Olympikus                 ,860852,5,806906,15
Umbro,746975,5,735716,16
Vanzetti,492375,5,696815,17
Croco Kids,698267,5,603991,18
Branch,723032,5,558839,19
Adidas,800580,5,495300,20
North Sails N+,476339,5,415572,21
Ador,312159,5,405523,22
Cuerart                  ,275938,5,398667,23
Bioconfort,236130,5,308737,24
Wassington   ,435825,5,298764,25
ZAXY,184010,5,210860,26
